Domain,Group,Feature,N,Mean,Std,Min,Max,Median,CV
Geographical,South Asia,bridging,8,1.175,0.8447315719040154,0.2,2.4,0.9,0.7189204867268215
Geographical,South Asia,international,8,0.15000000000000002,0.14142135623730953,0.0,0.4,0.2,0.9428090415820634
Geographical,South Asia,otherTypesOfSchool,8,0.45,0.58309518948453,0.0,1.6,0.2,1.2957670877434
Geographical,Europe/CA/NA,sentiment_subjectivity,54,0.3700441026496039,0.01709054426783043,0.3258370181921247,0.4104317421157059,0.37012760203796125,0.04618515508140263
Geographical,Europe/CA/NA,flesch_reading_ease,54,45.87852192126208,2.801884748959391,37.87392803629304,51.4480556810385,46.16605681611091,0.061071818176009665
Geographical,Europe/CA/NA,grammatical_analysis,54,904.8703703703703,33.4616459103561,832.6,976.4,902.9,0.03697949121337678
Geographical,Europe/CA/NA,academic,54,22.107407407407408,1.9763556944253458,18.2,28.0,22.299999999999997,0.08939789537524599
Geographical,Europe/CA/NA,vocational,54,10.185185185185185,1.496588246697714,6.2,14.2,10.3,0.146937755130321
Geographical,Europe/CA/NA,userConsiderations,54,19.38148148148148,1.669377250746808,15.2,23.4,19.5,0.08613259271959454
Geographical,Europe/CA/NA,bridging,54,0.8777777777777778,0.6435944658540713,0.0,2.8,0.8,0.7332088851502079
Geographical,Europe/CA/NA,international,54,0.8074074074074075,0.8730453859804946,0.0,3.4,0.6,1.0812947441042822
Geographical,Europe/CA/NA,otherTypesOfSchool,54,0.39629629629629626,0.424692102881811,0.0,1.6,0.30000000000000004,1.071652969888682
Geographical,MENA,sentiment_subjectivity,20,0.37939647360581474,0.01751304323002073,0.3379630477764718,0.4106417906941974,0.38008161337462,0.046160268870122464
Geographical,MENA,flesch_reading_ease,20,47.58137466345105,3.416586210873558,40.19278055755601,53.13929315354351,47.89692534065219,0.07180511775961697
Geographical,MENA,grammatical_analysis,20,898.32,37.66016463054829,843.2,960.0,896.9,0.04192288341631967
Geographical,MENA,academic,20,21.89,1.8069747908415446,19.0,24.8,21.2,0.08254795755329121
Geographical,MENA,vocational,20,10.32,0.9093664654148254,9.2,12.6,10.2,0.08811690556345207
Geographical,MENA,userConsiderations,20,19.59,1.4987363098009572,16.6,22.8,19.9,0.0765051715059192
Geographical,MENA,bridging,20,1.2,0.6488856845230502,0.0,2.6,1.1,0.5407380704358752
Geographical,MENA,international,20,0.29,0.2936162909577557,0.0,1.2,0.2,1.0124699688198473
Geographical,MENA,otherTypesOfSchool,20,0.37,0.4317650433182137,0.0,1.4,0.2,1.1669325495086857
Geographical,Sub-Saharan Africa,sentiment_subjectivity,48,0.38154595549717757,0.013881229861014413,0.3481421988260517,0.4153922122437747,0.3838690554221765,0.03638154109883389
Geographical,Sub-Saharan Africa,flesch_reading_ease,48,48.95172653144385,2.1059069214012363,43.89477258923208,52.94295927132894,49.06096191645283,0.04302007448191882
Geographical,Sub-Saharan Africa,grammatical_analysis,48,930.1125000000001,40.37673453226947,843.2,1017.8,929.8,0.043410592301758616
Geographical,Sub-Saharan Africa,academic,48,22.066666666666666,2.1754269166082194,18.0,29.0,21.6,0.09858430135686795
Geographical,Sub-Saharan Africa,vocational,48,10.870833333333332,1.5593176812970713,8.0,14.6,10.8,0.14344049195526912
Geographical,Sub-Saharan Africa,userConsiderations,48,19.849999999999998,2.228442830051628,16.4,26.2,19.700000000000003,0.11226412242073694
Geographical,Sub-Saharan Africa,bridging,48,1.5708333333333335,0.8220261251046769,0.0,3.4,1.6,0.5233057560348074
Geographical,Sub-Saharan Africa,international,48,0.20833333333333334,0.22955399247452205,0.0,1.0,0.2,1.1018591638777058
Geographical,Sub-Saharan Africa,otherTypesOfSchool,48,0.44583333333333336,0.371860379502807,0.0,2.0,0.4,0.8340793558941465
Geographical,LAC,sentiment_subjectivity,33,0.3701064232076058,0.013852835207739857,0.3459305905371435,0.3968292445899411,0.3679746027270307,0.037429329347168104
Geographical,LAC,flesch_reading_ease,33,46.62013627410719,2.4332784939866174,41.047333075997166,51.280573259922015,46.17395029505904,0.05219372332332842
Geographical,LAC,grammatical_analysis,33,925.5696969696969,37.560089230861834,865.6,1020.0,920.8,0.04058050879780645
Geographical,LAC,academic,33,22.636363636363637,2.1496828518728903,19.4,26.8,22.8,0.09496590911888271
Geographical,LAC,vocational,33,10.212121212121213,1.4369580664892363,7.8,13.6,10.0,0.14071102728232876
Geographical,LAC,userConsiderations,33,20.03030303030303,1.9768163876048355,17.2,25.8,19.6,0.09869128712701901
Geographical,LAC,bridging,33,1.012121212121212,0.589362778641886,0.0,2.2,1.0,0.5823045417719234
Geographical,LAC,international,33,0.5636363636363637,0.6566097498791529,0.0,2.4,0.4,1.1649527820436583
Geographical,LAC,otherTypesOfSchool,33,0.3939393939393939,0.40769120816142357,0.0,1.4,0.4,1.0349084514866906
Geographical,East Asia/Pacific,sentiment_subjectivity,30,0.3730157198023564,0.015987261133807572,0.3325509848773669,0.4004261086463782,0.37495034435412833,0.04285948362250919
Geographical,East Asia/Pacific,flesch_reading_ease,30,47.34125185877861,2.4052280756024333,42.15493887716821,51.54868022841752,47.98031568769926,0.05080617814622546
